model,accuracy,macro_f1,cv_macro_f1_mean,cv_macro_f1_std
rf_default,0.7500887154009936,0.49112005106537754,,
rf_balanced,0.7376242015613911,0.4760106556606454,,
rf_tuned_balanced,0.7415720369056068,0.4915480299747104,0.9318143688587792,0.012366833388345815
balanced_random_forest,0.764194464158978,0.5986820730965366,0.6759186390455907,0.005541254889780206
balanced_random_forest_500,0.7647267565649397,0.6053407661768805,0.6750842025174189,0.004755311655139482
balanced_random_forest_depth20,0.7647267565649397,0.6053407661768805,0.6750842025174189,0.004755311655139482
balanced_random_forest_regularized,0.7626863023420866,0.5876739421906476,,
rf_random_oversampling,0.7374024130589071,0.49343170064733827,,
rf_smotenc,0.7582505322924059,0.5385688943605241,,
